nom_hatvp;nom_developpe;accronyme;variation;
UNION NATIONALE DES ACTEURS DE FORMATION EN SECURITE;UNION NATIONALE DES ACTEURS DE FORMATION EN SECURITE;UNAFOS;;
COMITE DEP LIGUE NAT CONTRE LE CANCER;COMITE DEPARTEMENTAL DE LA LIGUE NATIONAL CONTRE LE CANCER;;Ligue contre le cancer;
MEDIAMETRIE;MEDIAMETRIE;;;
ASSOCIATION DE DEFENSE DU PATRIMOINE NUCLEAIRE ET DU CLIMAT;ASSOCIATION DE DEFENSE DU PATRIMOINE NUCLEAIRE ET DU CLIMAT;PNC-France;;
ASSOCIATION POUR LE DEVELOPPEMENT DU MECENAT INDUSTRIEL ET COMMERCIAL;Association pour le Développement du Mécénat Industriel et Commercial;Admical;;
GROUPEMENT HIPPIQUE NATIONAL;GROUPEMENT HIPPIQUE NATIONAL;GHN;;
EMERGENT SALES AND MARKETING FRANCE SAS;EMERGENT SALES AND MARKETING FRANCE SAS;;;
ACTINE STRATEGIES;ACTINE STRATEGIES;;;
MATERA;MATERA;;;
VERS LE HAUT;VERS LE HAUT;;VersLeHaut;
CTRE DEPART JEUNES AGRICULTEURS DE S & M;CENTRE DEPART JEUNES AGRICULTEURS DE S & M;;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANT AGRICOLE;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANT AGRICOLE;FDSEA 04;;
UNION NATIONALE DES LOCATAIRES INDEPENDANTS DE NANTERRE (UNLI DE NANTERRE);UNION NATIONALE DES LOCATAIRES INDEPENDANTS DE NANTERRE;UNLI DE NANTERRE;;
POLYVIA;Federation of Plastics and Composites;;union des transformation des polymères;
FEDERATION NATIONALE DES OPTICIENS DE FRANCE;FEDERATION NATIONALE DES OPTICIENS DE FRANCE;FNOF;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION BRETAGNE;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION BRETAGNE;CMA Bretagne;;
PLANET LABS GERMANY GMBH;PLANET LABS GERMANY GMBH;;PLANET LABS ;
FEDERATION DEPARTEMENTALE DU BATIMENT ET DES TRAVAUX PUBLICS DE LA SEINE-MARITIME;FEDERATION DEPARTEMENTALE DU BATIMENT ET DES TRAVAUX PUBLICS DE LA SEINE-MARITIME;FBTP SEINE-MARITIME 76;;
LA SOCIETE D'INVESTISSEMENT ET DE DEVELOPPEMENT EUROPEEN EN FRANCE;LA SOCIETE D'INVESTISSEMENT ET DE DEVELOPPEMENT EUROPEEN EN FRANCE;;;
PLATEFORME GLYPHOSATE FRANCE;PLATEFORME GLYPHOSATE FRANCE;;;
"""PG CONSULTANT""";PG CONSULTANT;;;
CLEVER CLOUD;CLEVER CLOUD;;;
ASSOCIATION DES JOURNALISTES POUR LA TRANSPARENCE;ASSOCIATION DES JOURNALISTES POUR LA TRANSPARENCE;AJT;;
UNION SYNDIC ENTREP DE CHIMIE ILE FRANCE;Union syndicale des entreprises de la Chimie Ile-de-France;UIC Île-de-France;;
DIRECTEURS IMMOBILIERS;Association des Directeurs Immobiliers;;;
