nom_hatvp;nom_developpe;accronyme;variation;
FEDERATION BAT TRAVAUX PUBLICS DES P.A.;FEDERATION BATiment TRAVAUX PUBLICS DES P.A.;;;
LA PREVENTION ROUTIERE;LA PREVENTION ROUTIERE;;;
FAIRVALUE CORPORATE & PUBLIC AFFAIRS;FAIRVALUE CORPORATE & PUBLIC AFFAIRS;;;
CONSEIL NATIONAL DE L'ORDRE DES MASSEURS KINESITHERAPEUTES;CONSEIL NATIONAL DE L'ORDRE DES MASSEURS KINESITHERAPEUTES;;;
HOMEAWAY FRANCE;HOMEAWAY FRANCE;;;
FEDERATION FRANCAISE DU BATIMENT DU VAR 83;FEDERATION FRANCAISE DU BATIMENT DU VAR 83;FFB VAR 83;;
UNION NATION SYND DIFFUSE PRESSE EDITION;UNION NATION SYND DIFFUSE PRESSE EDITION;;;
FÉDÉRATION DU BÂTIMENT ET DES TRAVAUX PUBLICS DE HAUTE-LOIRE;FÉDÉRATION DU BÂTIMENT ET DES TRAVAUX PUBLICS DE HAUTE-LOIRE;FFB HAUTE-LOIRE 43;;
ASSOCIATION CONFRONTATIONS;ASSOCIATION CONFRONTATIONS;;;
LES JEUNES AGRICULTEURS DU LOT 46;LES JEUNES AGRICULTEURS DU LOT 46;JA LOT 46;;
BLUE SOLUTIONS;BLUE SOLUTIONS;;;
FEDERATION NATIONALE DES SYNDICATS D'EXPLOITANTS 27;FEDERATION NATIONALE DES SYNDICATS D'EXPLOITANTS 27;FNSEA 27;;
ASSOCIATION A T T A C;ASSOCIATION A T T A C;;Attac;
OSTRUM ASSET MANAGEMENT;OSTRUM ASSET MANAGEMENT;;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE L'HERAULT 34;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE L'HERAULT 34;FDSEA HERAULT 34;;
EQUINIX FRANCE;EQUINIX FRANCE;;;
FEDERATION DEPARTEMENTALE DU BATIMENT ET DES TRAVAUX PUBLICS DE CORREZE;FEDERATION DEPARTEMENTALE DU BATIMENT ET DES TRAVAUX PUBLICS DE CORREZE;FBTP CORREZE 19;;
GUILDE FRANCAISE DES SCENARISTES;GUILDE FRANCAISE DES SCENARISTES;;;
SEO CONSEIL;SEO CONSEIL;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION BOURGOGNE FRANCHE-COMTE;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION BOURGOGNE FRANCHE-COMTE;;;
UNION NATIONALE PATRONALE DES PROTHÉSISTES DENTAIRES;UNION NATIONALE PATRONALE DES PROTHÉSISTES DENTAIRES;UNPPD;;
1884-1901;1884-1901;;;
FONDS INTERNATIONAL POUR LA PROTECTION DES ANIMAUX;FONDS INTERNATIONAL POUR LA PROTECTION DES ANIMAUX;;;
UNION TERRITORIALE DES PETITES ET MOYENNES ENTREPRISES DE LA GUYANE;UNION TERRITORIALE DES PETITES ET MOYENNES ENTREPRISES DE LA GUYANE;CGPME GUYANE;;
AB CONSEILS;AB CONSEILS;;;
SYND INTERPROFESSIONNEL DU CUIR   CONSEIL NATIONAL DU CUIR;SYND INTERPROFESSIONNEL DU CUIR   CONSEIL NATIONAL DU CUIR;;;
WELLCOM;WELLCOM;;;
ALLIANCE CONTRE LE TABAC;ALLIANCE CONTRE LE TABAC;;;
CONFEDERATION GENERALE DES PETITES ET MOYENNES ENTREPRISES DES PAYS DE LA LOIRE;CONFEDERATION GENERALE DES PETITES ET MOYENNES ENTREPRISES DES PAYS DE LA LOIRE;CPME 49;;
BAYER SAS;BAYER SAS;;;
FEDERATION NATIONALE DES CHASSEURS;FEDERATION NATIONALE DES CHASSEURS;;;
JEUNES AGRICULTEURS NOUVELLE AQUITAINE;JEUNES AGRICULTEURS NOUVELLE AQUITAINE;;;
UNION DES PRODUCTEURS DE CINEMA;UNION DES PRODUCTEURS DE CINEMA;UPC;;
DROITS DES LYCÉENS;DROITS DES LYCÉENS;;;
35N;35N;;;
AQPRIM;AQPRIM;;;
FEDERATION FRANCAISE DES METIERS DE L'INCENDIE;FEDERATION FRANCAISE DES METIERS DE L'INCENDIE;FFMI;;
EOLFI;EOLFI;;;
ONE;ONE;;;
MONSENIOR;MONSENIOR;;;
LIGUE POUR LA PROTECTION DES OISEAUX;LIGUE POUR LA PROTECTION DES OISEAUX;LPO;;
FÉDÉRATION NATIONALE DES TRANSPORTS ROUTIERS;FÉDÉRATION NATIONALE DES TRANSPORTS ROUTIERS;FNTR;;
ELECTRICITE DE TAHITI;ELECTRICITE DE TAHITI;EDT ENGIE;;
ARNAUD AVOCATS ASSOCIES;ARNAUD AVOCATS ASSOCIES;;;
UNION FEDERALE CONSOMMATEURS;UNION FEDERALE CONSOMMATEURS;UFC-QUE CHOISIR;;
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED;BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED;;;
GENERALE DU SOLAIRE;GENERALE DU SOLAIRE;;;
TECHNICOLOR;TECHNICOLOR;;;
FÉDÉRATION NATIONALE DES SYNDICATS DE L'ASSAINISSEMENT ET DE LA MAINTENANCE INDUSTRIELLE;FÉDÉRATION NATIONALE DES SYNDICATS DE L'ASSAINISSEMENT ET DE LA MAINTENANCE INDUSTRIELLE;FNSA;;
FRANCE ENERGIE EOLIENNE;FRANCE ENERGIE EOLIENNE;;;
FEDERATION NATIONALE PORCINE;FEDERATION NATIONALE PORCINE;FNP;;
UNION DEPARTEMENTALE DES PETITES ET MOYENNES ENTREPRISES DU TERRITOIRE DE BELFORT;UNION DEPARTEMENTALE DES PETITES ET MOYENNES ENTREPRISES DU TERRITOIRE DE BELFORT;;;
GILEAD SCIENCES;GILEAD SCIENCES;;;
LYNRED;LYNRED;;;
PAYPAL FRANCE SAS;PAYPAL FRANCE SAS;;;
ENTR TAILLE HUMAINE INDEPEND CROISSANCE;ENTR TAILLE HUMAINE INDEPEND CROISSANCE;ETHIC;;
NOVAMONT FRANCE SAS;NOVAMONT FRANCE SAS;;;
JEUNES AGRICULTEURS CHARENTE-MARITIME 17;JEUNES AGRICULTEURS CHARENTE-MARITIME 17;;;
ASS FRANC NOMMAGE INTERNET EN COOP;ASSociation FRANCaise NOMMAGE INTERNET EN COOP;;;
COMITÉ DE LIAISON ENERGIES RENOUVELABLES;COMITÉ DE LIAISON ENERGIES RENOUVELABLES;CLER;;
SYNDICAT DES INDEPENDANTS;SYNDICAT DES INDEPENDANTS;;;
FORMINDEP : POUR UNE FORMATION ET UNE INFORMATION MEDICALES INDEPENDANTES DE TOUT AUTRE INTERET QUE CELUI DE LA SANTE DES PERSONNES;FORMINDEP;;;
RF CONSULTING;RF CONSULTING;;;
ASSOCIATION FRANCAISE DU MULTIMEDIA MOBILE;ASSOCIATION FRANCAISE DU MULTIMEDIA MOBILE;AFMM;;
SIEMPRE;SIEMPRE;;;
CERCLE FRANCAIS DE L EAU;CERCLE FRANCAIS DE L EAU;CFE;;
UNION SYNDICALE DE L'INDUSTRIE DES PRODUITS AMYLACES;UNION SYNDICALE DE L'INDUSTRIE DES PRODUITS AMYLACES;USIPA;;
CHIMIREC DEVELOPPEMENT;CHIMIREC DEVELOPPEMENT;;;
CITYSCOOT;CITYSCOOT;;;
JEUNES AGRICULTEURS DU HAUT-RHIN;JEUNES AGRICULTEURS DU HAUT-RHIN;JA du Haut-rhin;;
ILIAD;ILIAD;;;
FEDERATION NATIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLE;FEDERATION NATIONALE DES SYNDICATS D'EXPLOITANTS AGRICOLE;;;
MAARC;MAARC;;;
UCPA SPORT LOISIRS;UCPA SPORT LOISIRS;;;
CABINET JPA;CABINET JPA;;;
COLLECTIF NOURRIR;COLLECTIF NOURRIR;;;
DASSAULT SYSTEMES;DASSAULT SYSTEMES;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE ALPES-DE-HAUTE-PROVENCE;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE ALPES-DE-HAUTE-PROVENCE;CCIT ALPES-DE-HAUTE-PROVENCE;;
BPIFRANCE;BPIFRANCE;;;
FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU TARN-ET-GARONNE;FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU TARN-ET-GARONNE;FDSEA 82;;
ASSOCIATION DES PROFESSIONNELS DE LA LOCATION MEUBLEE;ASSOCIATION DES PROFESSIONNELS DE LA LOCATION MEUBLEE;APML;;
SYNDICAT PROFESSIONNEL METIERS ET SERVICES DE L'ANIMAL FAMILIER;SYNDICAT PROFESSIONNEL METIERS ET SERVICES DE L'ANIMAL FAMILIER;PRODAF;;
UNION NATIONALE DES SERVICES PUBLICS INDUSTRIELS & COMMERCIAUX;UNION NATIONALE DES SERVICES PUBLICS INDUSTRIELS & COMMERCIAUX;;;
EURALIS COOP;EURALIS COOP;;;
FEDERATION FRANCAISE DU BATIMENT OCCITANIE;FEDERATION FRANCAISE DU BATIMENT OCCITANIE;FFBO;;
PLATEFORME FRANCE LOGISTIQUE;PLATEFORME FRANCE LOGISTIQUE;;;
INSTITUT DROIT & CROISSANCE;INSTITUT DROIT & CROISSANCE;;;
ASSOCIATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE DES OUTRE MER;ASSOCIATION DES CHAMBRES DE COMMERCE ET D'INDUSTRIE DES OUTRE MER;;;
ASSOCIATION QUALITEL;ASSOCIATION QUALITEL;;;
SYNDICAT DES CIRIERS;SYNDICAT DES CIRIERS;;;
UNION DES MAISONS DE CHAMPAGNE;UNION DES MAISONS DE CHAMPAGNE;;;
MOUVEMENT DES ENTREPRISES DE LA NOUVELLE ECONOMIE;MOUVEMENT DES ENTREPRISES DE LA NOUVELLE ECONOMIE;;;
ASSOCIATION BLOOM;ASSOCIATION BLOOM;;;
GROUPE DES FEDERATIONS INDUSTRIELLES;GROUPE DES FEDERATIONS INDUSTRIELLES;GFI;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE LA CHARENTE MARITIME;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE LA CHARENTE MARITIME;FFB CHARENTE MARITIME 17;;
MUTUALITE FRANCAISE OCCITANIE;MUTUALITE FRANCAISE OCCITANIE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE;CHAMBRE DE COMMERCE ET D'INDUSTRIE;;;
ERAMET;ERAMET;;;
COMITE DEP LIGUE NAT CONTRE LE CANCER;COMITE DEP LIGUE NAT CONTRE LE CANCER;;;
CONSEIL INTERPROFESSIONNEL DES VINS DE CORSE;CONSEIL INTERPROFESSIONNEL DES VINS DE CORSE;CIVC;;
Les Entreprises de Télémédecine;Les Entreprises de Télémédecine;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION AUVERGNE - RHONE-ALPES;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE REGION AUVERGNE - RHONE-ALPES;CCI AUVERGNE RHONE ALPES;;
LIGUE FRCAISE DEFENSE DROITS DE L'HOMME;LIGUE FRCAISE DEFENSE DROITS DE L'HOMME;LDH;;
ASSOCIATION FRANCAISE DES SOCIETES DE PLACEMENT IMMOBILIER;ASSOCIATION FRANCAISE DES SOCIETES DE PLACEMENT IMMOBILIER;ASPIM;;
CONSEIL REGIONAL DE L'ORDRE DES ARCHITECTES D'AUVERGNE RHONE ALPES;CONSEIL REGIONAL DE L'ORDRE DES ARCHITECTES D'AUVERGNE RHONE ALPES;;;
CENTRE NATIONAL D'ETUDES SPATIALES;CENTRE NATIONAL D'ETUDES SPATIALES;CNES;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE CHARENTE 16;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE CHARENTE 16;FDSEA CHARENTE 16;;
ABB FRANCE;ABB FRANCE;;;
U2P AUVERGNE-RHONE-ALPES;U2P AUVERGNE-RHONE-ALPES;U2P 69;;
YOPLAIT FRANCE;YOPLAIT FRANCE;;;
FÉDÉRATION FRANÇAISE DU CARTONNAGE ET ARTICLES DE PAPETERIE;FÉDÉRATION FRANÇAISE DU CARTONNAGE ET ARTICLES DE PAPETERIE;FFCP;;
CHRETIEN ANTHONY;CHRETIEN ANTHONY;;;
SODEXO PASS FRANCE;SODEXO PASS FRANCE;;;
FEDERATION PROFESSIONNELLE DES ENTREPRISES DE L EAU;FEDERATION PROFESSIONNELLE DES ENTREPRISES DE L EAU;FP2E;;
"LE DO TANK; LIVING LAB DES ENTREPRISES MOYENNES";"LE DO TANK; LIVING LAB DES ENTREPRISES MOYENNES";;;
OPÉRATEURS SPÉCIALISÉS DU COMMERCE INTERNATIONAL;OPÉRATEURS SPÉCIALISÉS DU COMMERCE INTERNATIONAL;OSCI;;
BURGER KING FRANCE;BURGER KING FRANCE;;;
ASSOCIATION POUR LA FONDATION CRESUS D INITIATIVE ECONOMIQUE ET SOCIALES;ASSOCIATION POUR LA FONDATION CRESUS D INITIATIVE ECONOMIQUE ET SOCIALES;;;
FEDERATION DES PETITES ET MOYENNES ENTREPRISES DE L'ESSONNE 91;FEDERATION DES PETITES ET MOYENNES ENTREPRISES DE L'ESSONNE 91;;;
EFFY;EFFY;;;
FÉDÉRATION NATIONALE DES ARTISANS PIZZA EN CAMION MAGASIN;FÉDÉRATION NATIONALE DES ARTISANS PIZZA EN CAMION MAGASIN;FNAPCM;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE PUY-DE-DOME CLERMONT AUVERGNE METROPOLE;CHAMBRE DE COMMERCE ET D'INDUSTRIE PUY-DE-DOME CLERMONT AUVERGNE METROPOLE;CCI 63;;
UFIP ENERGIES ET MOBILITES;UFIP ENERGIES ET MOBILITES;;;
ECOSYSTEM;ECOSYSTEM;;;
GREENYELLOW;GREENYELLOW;;;
L'AVENIR EN EUROPE / FUTURE IN EUROPE;L'AVENIR EN EUROPE / FUTURE IN EUROPE;;;
UNION COOPERATION FORESTIERE FRANCAISE;UNION COOPERATION FORESTIERE FRANCAISE;;;
FEDERATION NATIONALE DES UNIONS DE JEUNES AVOCATS;FEDERATION NATIONALE DES UNIONS DE JEUNES AVOCATS;;;
"ASSOCIATION FRANÇAISE DES POMPES ET AGITATEURS; DES COMPRESSEURS ET DE LA ROBINETTERIE";"ASSOCIATION FRANÇAISE DES POMPES ET AGITATEURS; DES COMPRESSEURS ET DE LA ROBINETTERIE";PROFLUID;;
COMITE DEP LIGUE NAT CONTRE LE CANCER;COMITE DEP LIGUE NAT CONTRE LE CANCER;;;
RES;RES;;;
INTERPROFESSION DES VINS DU SUD OUEST FRANCE;INTERPROFESSION DES VINS DU SUD OUEST FRANCE;;;
AGDATAHUB;AGDATAHUB;;;
BOUVIALA AMELIE ODETTE JANINE;BOUVIALA AMELIE ODETTE JANINE;;;
"FEDERATION FRANCAISE DES NEGOCIANTS EN APPAREILS SANITAIRES; CHAUFFAGE;CLIMATISATION ET CANALISATIONS";"FEDERATION FRANCAISE DES NEGOCIANTS EN APPAREILS SANITAIRES; CHAUFFAGE;CLIMATISATION ET CANALISATIONS";;;
ESSILOR INTERNATIONAL;ESSILOR INTERNATIONAL;;;
THE SHIFT PROJECT;THE SHIFT PROJECT;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DU CHER 18;CHAMBRE DE METIERS ET DE L'ARTISANAT DU CHER 18;CMA CHER 18;;
SCHNEIDER ELECTRIC INDUSTRIES SAS;SCHNEIDER ELECTRIC INDUSTRIES SAS;;;
HILL AND KNOWLTON SAS;HILL AND KNOWLTON SAS;;;
SOCIETE DES AUTEURS COMPOSITEURS ET EDITEURS DE MUSIQUE;SOCIETE DES AUTEURS COMPOSITEURS ET EDITEURS DE MUSIQUE;SACEM;;
55 FAUBOURG;55 FAUBOURG;;;
LABORATOIRES ALCON;LABORATOIRES ALCON;;;
ADEPALE;ADEPALE;;;
PLANETE CSCA;PLANETE CSCA;CSCA;;
EDENRED FRANCE;EDENRED FRANCE;;;
FEDERATION REGIONALE SYNDICATS D'EXPLOITANTS AGRICOLES HAUTE GARONNE;FEDERATION REGIONALE SYNDICATS D'EXPLOITANTS AGRICOLES HAUTE GARONNE;FRSEA 31;;
FÉDÉRATION DU BÂTIMENT ET DES TP DE SAÔNE-ET-LOIRE;FÉDÉRATION DU BÂTIMENT ET DES TP DE SAÔNE-ET-LOIRE;FFB 71;;
CERTIBRUIT;CERTIBRUIT;;;
JEUNES AGRICULTEURS 89;JEUNES AGRICULTEURS 89;;;
CHAMBRE COMMERCE ET INDUSTRIE MARTINIQUE;CHAMBRE COMMERCE ET INDUSTRIE MARTINIQUE;CCI MARTINIQUE;;
FÉDÉRATION DES CRISTALLERIES VERRERIES À LA MAIN ET MIXTES;FÉDÉRATION DES CRISTALLERIES VERRERIES À LA MAIN ET MIXTES;FCVM;;
SYNDICAT FRANÇAIS DE L'INDUSTRIE CIMENTIÈRE;SYNDICAT FRANÇAIS DE L'INDUSTRIE CIMENTIÈRE;SFIC;;
MOUVEMENT EUROPEEN FRANCE (ME-F);MOUVEMENT EUROPEEN FRANCE (ME-F);ME-F;;
MIROVA;MIROVA;;;
CONFÉDÉRATION GÉNÉRALE DES PETITES ET MOYENNES ENTREPRISES DE LA DRÔME;CONFÉDÉRATION GÉNÉRALE DES PETITES ET MOYENNES ENTREPRISES DE LA DRÔME;CGPME 26;;
ASSOCIATION RÉGIONALE DES ORGANISMES HLM D'ILE-DE-FRANCE;ASSOCIATION RÉGIONALE DES ORGANISMES HLM D'ILE-DE-FRANCE;;;
JEUNES AGRICULTEURS 21;JEUNES AGRICULTEURS 21;;;
SYNDICAT PROFESSIONNEL POUR LE RECYCLAGE ET L'ÉLIMINATION DES DÉCHETS;SYNDICAT PROFESSIONNEL POUR LE RECYCLAGE ET L'ÉLIMINATION DES DÉCHETS;SYPRED;;
SOITEC;SOITEC;;;
NATIXIS;NATIXIS;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'ALLIER 03;CHAMBRE DE METIERS ET DE L'ARTISANAT DE L'ALLIER 03;CMA ALLIER 03;;
BEATRICE NERE;BEATRICE NERE;;;
CHAMBRE COMMERCE ET INDUSTRIE DE L'AUBE;CHAMBRE COMMERCE ET INDUSTRIE DE L'AUBE;CCI AUBE 10;;
CCI VAUCLUSE;Chambre du commerce et d'industrie VAUCLUSE;CCI 84;;
GENZYME;GENZYME;;;
AIR LIQUIDE SANTE INTERNATIONAL;AIR LIQUIDE SANTE INTERNATIONAL;;;
DANONE;DANONE;;;
JEUNES AGRICULTEURS HAUTE CORSE 2B;JEUNES AGRICULTEURS HAUTE CORSE 2B;;;
FOND DE GESTION DES CONGES INDIVIDUELS DE FORMATION ILE DE FRANCE;FOND DE GESTION DES CONGES INDIVIDUELS DE FORMATION ILE DE FRANCE;;;
TOTALENERGIES MARKETING SERVICES;TOTALENERGIES MARKETING SERVICES;;;
AKUO ENERGY SAS;AKUO ENERGY SAS;;;
GIE ALLIANCE DU COMMERCE;GIE ALLIANCE DU COMMERCE;;;
SOGARIS;SOGARIS;;;
CLUB INFORMATIQUE GRANDES ENTREPRISES FR;CLUB INFORMATIQUE GRANDES ENTREPRISES FR;;;
GREENLOBBY;GREENLOBBY;;;
CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES DE COTE D'OR;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES DE COTE D'OR;CPME 21;;
GADOL OPTIC 2000;GADOL OPTIC 2000;;;
NATIXIS INVESTMENT MANAGERS INTERNATIONAL;NATIXIS INVESTMENT MANAGERS INTERNATIONAL;;;
J&L CABINET;J&L CABINET;;;
CITIZENS;CITIZENS;;;
ECO EMBALLAGES SA;ECO EMBALLAGES SA;;;
WEMEAN;WEMEAN;;;
FEDERATION FRANCAISE DES COMBUSTIBLES CARBURANTS ET CHAUFFAGE;FEDERATION FRANCAISE DES COMBUSTIBLES CARBURANTS ET CHAUFFAGE;FF3C;;
DEVERYWARE;DEVERYWARE;;;
PURFER;PURFER;;;
FÉDÉRATION FRANÇAISE DU NÉGODE DE L'AMEUBLEMENT ET DE L'ÉQUIPEMENT DE LA MAISON;FÉDÉRATION FRANÇAISE DU NÉGODE DE L'AMEUBLEMENT ET DE L'ÉQUIPEMENT DE LA MAISON;FNAEM;;
SYNDICAT DES AUDIOPROTHÉSISTES;SYNDICAT DES AUDIOPROTHÉSISTES;UNSAF;;
COSTE THIERRY;COSTE THIERRY;;;
INSTITUT FRANCAIS POUR LA PERFORMANCE DU BATIMENT;INSTITUT FRANCAIS POUR LA PERFORMANCE DU BATIMENT;;;
FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;FEDERATION FRANCAISE DES ENTREPRISES DE CRECHES;FFEC;;
AIVANCITY;AIVANCITY;;;
GREENLEX;GREENLEX;;;
LYSIOS;LYSIOS;;;
U2P DE L'ARIEGE;U2P DE L'ARIEGE;U2P 09;;
COMMSTRAT;COMMSTRAT;;;
COMPLIANCE - ETHIQUE - CONFORMITE DES AFFAIRES IMMOBILIERES;COMPLIANCE - ETHIQUE - CONFORMITE DES AFFAIRES IMMOBILIERES;;;
JEUNES AGRICULTEURS OCCITANIE;JEUNES AGRICULTEURS OCCITANIE;;;
LNA SANTE;LNA SANTE;;;
ASSOCIATION DE LA MÉCANIQUE INDUSTRIELLE ET DES CONSTRUCTIONS SPÉCIALES;ASSOCIATION DE LA MÉCANIQUE INDUSTRIELLE ET DES CONSTRUCTIONS SPÉCIALES;AMICS;;
ASSOCIATION DES CONSTRUCTIONS INDUSTRIALISÉES ET MODULAIRES;ASSOCIATION DES CONSTRUCTIONS INDUSTRIALISÉES ET MODULAIRES;ACIM;;
CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DE VENDEE 85;CHAMBRE DE COMMERCE ET DE L'INDUSTRIE DE VENDEE 85;CCI VENDEE 85;;
FRANCE PLAIDOYER;FRANCE PLAIDOYER;;;
CHAMBRE COMMERCE INDUSTRIE HAUTE-MARNE;CHAMBRE COMMERCE INDUSTRIE HAUTE-MARNE;CCI 52;;
ALLIANCE HEALTHCARE GROUP FRANCE;ALLIANCE HEALTHCARE GROUP FRANCE;;;
COMYA GROUP;COMYA GROUP;;;
FRANCE DATACENTER;FRANCE DATACENTER;;;
ACTION PUBLIQUE;ACTION PUBLIQUE;;;
GROUPEMENT DES INDUSTRIES FRANÇAISES AÉRONAUTIQUES ET SPATIALES;GROUPEMENT DES INDUSTRIES FRANÇAISES AÉRONAUTIQUES ET SPATIALES;GIFAS;;
ASSOCIATION  ENERGIE PARTAGEE;ASSOCIATION  ENERGIE PARTAGEE;;;
FENARIVE;FENARIVE;;;
SAS GASPARD GANTZER;SAS GASPARD GANTZER;;;
CISCO SYSTEMS FRANCE;CISCO SYSTEMS FRANCE;CISCO;;
ANCRE SAS;ANCRE SAS;;;
SOC VELUX FRANCE;SOC VELUX FRANCE;;;
PERNOD RICARD;PERNOD RICARD;;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE HAUTE-GARONNE;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DE HAUTE-GARONNE;FDSEA HAUTE-GARONNE 31;;
FÉDÉRATION NATIONALE DES CAISSES D'EPARGNE;FÉDÉRATION NATIONALE DES CAISSES D'EPARGNE;;;
NOVARTIS PHARMA SAS;NOVARTIS PHARMA SAS;;;
DERICHEBOURG ENVIRONNEMENT;DERICHEBOURG ENVIRONNEMENT;;;
UNITIS  EUROPEAN ORGANIZATION OF COSMETIC INGREDIENTS INDUSTRIES AND SERVICES;UNITIS  EUROPEAN ORGANIZATION OF COSMETIC INGREDIENTS INDUSTRIES AND SERVICES;UNITIS;;
UNION DES ENTREPRISES DE PROXIMITÉ DE L'AUDE;UNION DES ENTREPRISES DE PROXIMITÉ DE L'AUDE;U2P 11;;
FEDERATION SOCIETES IMMOBILIER FONCIERES;FEDERATION SOCIETES IMMOBILIER FONCIERES;;;
CAC EN MOUVEMENT;CAC EN MOUVEMENT;;;
FEDERATION FRANCAISE DU BATIMENT REGION ILE DE FRANCE EST;FEDERATION FRANCAISE DU BATIMENT REGION ILE DE FRANCE EST;FFB ILE DE FRANCE EST 77;;
FEDERATION FRANCAISE DES INDUSTRIES DE SANTE;FEDERATION FRANCAISE DES INDUSTRIES DE SANTE;FEFIS;;
JEUNES AGRICULTEURS DE LA VIENNE 86;JEUNES AGRICULTEURS DE LA VIENNE 86;JA VIENNE 86;;
"ASSOCIATION FRANÇAISE DES INDUSTRIES DE LA DÉTERGENCE; DE L’ENTRETIEN ET DES PRODUITS D’HYGIÈNE INDUSTRIELLE";"ASSOCIATION FRANÇAISE DES INDUSTRIES DE LA DÉTERGENCE; DE L’ENTRETIEN ET DES PRODUITS D’HYGIÈNE INDUSTRIELLE";AFISE;;
FÉDÉRATION FRANÇAISE DE CARROSSERIE INDUSTRIES ET SERVICES;FÉDÉRATION FRANÇAISE DE CARROSSERIE INDUSTRIES ET SERVICES;FFC;;
JEUNES AGRICULTEURS FINISTÈRE 29;JEUNES AGRICULTEURS FINISTÈRE 29;;;
CONFEDERATION GENERAL LOGEMENT;CONFEDERATION GENERAL LOGEMENT;;;
SOCIETE DU GRAND PARIS;SOCIETE DU GRAND PARIS;;;
TRAINLINE SAS;TRAINLINE SAS;;;
FTI CONSULTING (STRATEGIC COMMUNICATIONS);FTI CONSULTING (STRATEGIC COMMUNICATIONS);;;
ENTREPRISES GENERALES DE FRANCE BATIMENT ET TRAVAUX PUBLICS;ENTREPRISES GENERALES DE FRANCE BATIMENT ET TRAVAUX PUBLICS;EGF BTP;;
FLAG !;FLAG !;;;
EN AVANT TOUTE(S);EN AVANT TOUTE(S);;;
LIGUE DES AUTEURS PROFESSIONNELS;LIGUE DES AUTEURS PROFESSIONNELS;;;
ASSOCIATION FRANCAISE DES INDUSTRIELS DU TABAC;ASSOCIATION FRANCAISE DES INDUSTRIELS DU TABAC;;;
SAPER VEDERE;SAPER VEDERE;;;
CHAMBRE COMMERCE INDUSTRIE DU PAYS ARLES;CHAMBRE COMMERCE INDUSTRIE DU PAYS ARLES;CCI 13;;
L'ALLIANCE DES OPPOSANTS A LA CHASSE;L'ALLIANCE DES OPPOSANTS A LA CHASSE;;;
SAP FRANCE;SAP FRANCE;;;
GLOBAL HEALTH ADVOCATES - FRANCE;GLOBAL HEALTH ADVOCATES - FRANCE;ASM;;
L'ALLIANCE 7;L'ALLIANCE 7;;;
ASSOCIATION FRANCE ALZHEIMER;ASSOCIATION FRANCE ALZHEIMER;;;
SEDIMA;SEDIMA;;;
ASSOCIATION DES PROFESSIONNELS DES AFFAIRES PUBLIQUES (APAP);ASSOCIATION DES PROFESSIONNELS DES AFFAIRES PUBLIQUES (APAP);;;
FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU TARN;FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU TARN;FDSEA 81;;
AEROPORTS DE PARIS;AEROPORTS DE PARIS;ADP;;
FEDERATION FRANCAISE DU BATIMENT LANDES;FEDERATION FRANCAISE DU BATIMENT LANDES;FFB DES LANDES 40;;
FEDERATION NATIONALE DES ASSOCIATIONS REGIONALES D'ORGANISMES D'HLM;FEDERATION NATIONALE DES ASSOCIATIONS REGIONALES D'ORGANISMES D'HLM;F.N.A.R;;
PAYLIB SERVICES;PAYLIB SERVICES;;;
